dateObserved,temperature,relativeHumidity,hour,month
2023-05-26 02:11:00+00:00,12.075608,84.74349,2,5
2023-05-26 02:21:00+00:00,11.974136,84.9514,2,5
2023-05-26 02:31:00+00:00,12.038224,85.5465,2,5
2023-05-26 02:41:00+00:00,12.016861,84.89227,2,5
2023-05-26 02:51:00+00:00,12.014191,84.75876,2,5
2023-05-26 03:01:00+00:00,11.9474325,85.05058,3,5
2023-05-26 03:11:00+00:00,11.733807,85.37484,3,5
2023-05-26 03:21:00+00:00,11.68307,85.42634,3,5
2023-05-26 03:31:00+00:00,11.584268,85.57511,3,5
2023-05-26 03:41:00+00:00,11.490807,85.58846,3,5
2023-05-26 03:51:00+00:00,11.450751,85.78111,3,5
2023-05-26 04:01:00+00:00,11.578927,85.49882,4,5
2023-05-26 04:11:00+00:00,11.701762,85.33288,4,5
2023-05-26 04:31:00+00:00,11.998169,84.59281,4,5
2023-05-26 04:41:00+00:00,12.070268,83.92905,4,5
2023-05-26 04:51:00+00:00,12.321279,83.27291,4,5
2023-05-26 05:01:00+00:00,12.553597,82.740746,5,5
2023-05-26 05:11:00+00:00,12.641718,82.4432,5,5
2023-05-26 05:21:00+00:00,12.607004,82.073166,5,5
2023-05-26 05:31:00+00:00,12.695125,81.83093,5,5
2023-05-26 06:01:00+00:00,13.517586,80.27451,6,5
2023-05-26 06:11:00+00:00,13.915465,78.63035,6,5
2023-05-26 06:21:00+00:00,14.051652,78.203094,6,5
2023-05-26 06:31:00+00:00,14.20119,78.195465,6,5
2023-05-26 06:51:00+00:00,14.494926,77.41917,6,5
2023-05-26 07:01:00+00:00,15.053025,75.94667,7,5
2023-05-26 07:11:00+00:00,15.664531,75.37064,7,5
2023-05-26 07:21:00+00:00,15.771343,73.8333,7,5
2023-05-26 07:41:00+00:00,15.808728,72.67742,7,5
2023-05-26 07:51:00+00:00,16.062408,72.868164,7,5
2023-05-26 08:21:00+00:00,16.345465,70.70901,8,5
2023-05-26 08:41:00+00:00,17.499046,67.33105,8,5
2023-05-26 09:01:00+00:00,19.776836,60.079193,9,5
2023-05-26 09:11:00+00:00,20.017166,58.288166,9,5
2023-05-26 09:51:00+00:00,19.782177,59.40589,9,5
2023-05-26 10:01:00+00:00,20.260166,59.505074,10,5
2023-05-26 10:11:00+00:00,20.599298,58.543755,10,5
2023-05-26 10:21:00+00:00,21.387045,56.247272,10,5
2023-05-26 11:01:00+00:00,22.863737,52.562218,11,5
2023-05-26 11:21:00+00:00,22.847715,54.006104,11,5
2023-05-26 11:31:00+00:00,22.388418,53.49111,11,5
2023-05-26 11:41:00+00:00,22.88243,52.316166,11,5
2023-05-26 12:11:00+00:00,23.37644,51.07065,12,5
2023-05-26 13:11:00+00:00,23.29633,49.138477,13,5
2023-05-26 13:21:00+00:00,23.288319,49.84039,13,5
2023-05-26 13:41:00+00:00,23.240253,49.218586,13,5
2023-05-26 13:51:00+00:00,23.515297,48.74937,13,5
2023-05-26 14:01:00+00:00,23.574045,49.249104,14,5
2023-05-26 14:11:00+00:00,23.520638,49.83848,14,5
2023-05-26 14:41:00+00:00,23.648813,48.35454,14,5
2023-05-26 15:01:00+00:00,23.53933,49.107956,15,5
2023-05-26 15:21:00+00:00,23.817045,47.645,15,5
2023-05-26 15:41:00+00:00,23.995956,46.597847,15,5
2023-05-26 16:41:00+00:00,24.073397,44.94034,16,5
2023-05-26 16:51:00+00:00,23.776989,46.296482,16,5
2023-05-26 17:11:00+00:00,23.632792,45.02617,17,5
2023-05-26 17:31:00+00:00,23.520638,44.223164,17,5
2023-05-26 17:51:00+00:00,23.240253,44.709545,17,5
2023-05-26 18:51:00+00:00,21.795605,52.1693,18,5
2023-05-26 19:21:00+00:00,20.887693,56.188145,19,5
2023-05-26 19:31:00+00:00,20.634012,57.282978,19,5
2023-05-26 19:41:00+00:00,20.44976,58.160374,19,5
2023-05-26 19:51:00+00:00,20.193409,58.232853,19,5
2023-05-26 20:11:00+00:00,19.937056,57.81323,20,5
2023-05-26 20:31:00+00:00,19.654001,58.028763,20,5
2023-05-26 20:51:00+00:00,19.23743,59.249485,20,5
2023-05-26 21:11:00+00:00,18.967728,60.1574,21,5
2023-05-26 21:21:00+00:00,18.762112,61.009995,21,5
2023-05-26 21:41:00+00:00,17.85153,63.78523,21,5
2023-05-26 21:51:00+00:00,17.507057,64.738914,21,5
2023-05-26 22:01:00+00:00,17.595179,63.70512,22,5
2023-05-26 22:21:00+00:00,17.52842,62.057144,22,5
2023-05-26 22:31:00+00:00,17.565805,61.681393,22,5
2023-05-26 22:41:00+00:00,17.736706,60.42443,22,5
2023-05-26 23:31:00+00:00,17.0531,62.194477,23,5
2023-05-26 23:41:00+00:00,17.173265,61.774853,23,5
2023-05-26 23:51:00+00:00,16.812773,63.79858,23,5
2023-05-27 00:01:00+00:00,16.738003,63.52964,0,5
2023-05-27 00:11:00+00:00,16.583124,64.29069,0,5
2023-05-27 00:41:00+00:00,15.456244,69.64088,0,5
2023-05-27 00:51:00+00:00,15.16785,70.70138,0,5
2023-05-27 01:31:00+00:00,14.713893,72.37415,1,5
2023-05-27 01:41:00+00:00,14.510948,73.39269,1,5
2023-05-27 02:11:00+00:00,14.235905,74.17471,2,5
2023-05-27 02:21:00+00:00,14.126421,74.45701,2,5
2023-05-27 02:41:00+00:00,13.637751,76.73823,2,5
2023-05-27 02:51:00+00:00,13.448157,77.59464,2,5
2023-05-27 03:21:00+00:00,13.197146,77.018616,3,5
2023-05-27 03:31:00+00:00,13.165103,76.93088,3,5
2023-05-27 03:41:00+00:00,13.079652,77.05676,3,5
2023-05-27 03:51:00+00:00,13.034257,77.24368,3,5
2023-05-27 04:01:00+00:00,12.9461355,77.46113,4,5
